messageId,timestamp,author,authorChannelId,isChatOwner,isChatSponsor,isVerified,message
LCC.EhwKGkNMZXhqTldNMW84REZWbkN3Z1FkaTdVOXJR,2025-09-14 00:54:55.120307+00:00,来世はひとなみ,UC1HjLO5RkOQ5zcPolFmuO5A,False,False,False,カレーラスめっちゃ余裕そうにかわすじゃん
LCC.EhwKGkNLNlNsOWlNMW84REZaYkh3Z1FkVk5BVTJR,2025-09-14 00:55:01.586941+00:00,Gawa (ガワ),UC9BJ3EtKFh-XQN870I4Q4wg,False,False,False,メッシ扱いぽくすれば、いいのよ。
LCC.EhwKGkNMT1UxdHVNMW84REZTTW1yUVlkaENBU2ZB,2025-09-14 00:55:08.910734+00:00,とある,UCe0kGAn5sE1wPOZvA9OhQTQ,False,False,False,王様はメッシのみ
LCC.EhwKGkNOamswdUNNMW84REZkUURyUVlkclBBdnZB,2025-09-14 00:55:19.340214+00:00,宇治,UCSuTfWeTUGq_b01hf-HS7MQ,False,False,False,ギュレルうめえ
LCC.EhwKGkNPWFMzT0NNMW84REZTTW1yUVlkaENBU2ZB,2025-09-14 00:55:19.501490+00:00,しろくま,UCRKoCGJ-nF9JV7OYmbCvaww,False,False,False,ギュレルうんま
LCC.EhwKGkNNZm52dVNNMW84REZWckJ3Z1FkaEw4alN3,2025-09-14 00:55:27.402813+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,現代サッカーは、ズラタン(神)とそれ以外。
LCC.EhwKGkNJTzMtLVdNMW84REZiZk53Z1FkcTFZcDFB,2025-09-14 00:55:30.492628+00:00,リーダス,UCuqg7euGhthYnoebDjcjx_g,False,False,False,いないねプレミアにもリーガにもブンデスにもこんな選手
LCC.EhwKGkNKM2J0ZWVNMW84REZmSER3Z1FkTnFVWU53,2025-09-14 00:55:33.547875+00:00,せーゆ,UCNdiEd4wtd2vAtSDXLT0-CQ,False,False,False,メッシをやれせればいい
LCC.EhwKGkNONzE5dWVNMW84REZTREV3Z1FkSlNzZlp3,2025-09-14 00:55:34.612726+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,なんでマドリーの選手軽く転けたらファール取ってソシエダの選手は全然取らないねん
LCC.EhwKGkNMNjJ3T2lNMW84REZWTVRyUVlkRkpRb2Rn,2025-09-14 00:55:35.817487+00:00,すーしゃ,UCyO9OHd_1Igp15g-3sU9_nw,False,False,False,アロンソの目に止まってくれ
LCC.EhwKGkNMcXRqT3FNMW84REZVRER3Z1FkMFdjNHhn,2025-09-14 00:55:39.158437+00:00,ももか,UCBEA7393cCOJ6oeT09s4NDQ,False,False,False,復讐のギュレル
LCC.EhwKGkNQV2htX1NNMW84REZiZk53Z1FkcTFZcDFB,2025-09-14 00:56:00.373923+00:00,マニーパッキャオ,UCP5DRyVhpnQrbg2IF5YPycQ,False,False,False,マジでドローないか
