language,comment_count,avg_length,emoji_rate,cpm,entropy,percentage,match,stream
nl,176,23.926136363636363,11.363636363636363,1.3478561344755882,7.77969075580261,1.8247796785899428,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log
en,5913,36.31202435312024,8.37138508371385,46.35882727908967,10.352797302009954,63.260939338825295,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
it,165,19.078787878787878,8.484848484848486,1.29362531727546,7.562454822148908,1.7652722798758962,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
ko,10,30.9,30.0,0.07840153438033091,5.818549756402128,0.10698619878035734,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
other,1852,17.639848812095032,9.1792656587473,14.519964167237285,10.165280640437073,19.81384401412218,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
de,336,18.077380952380953,5.357142857142857,2.6342915551791184,8.917958478088464,3.5947362790200064,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
ja,612,28.148692810457515,11.11111111111111,4.798173904076251,9.707812693753532,6.547555365357868,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
nl,191,27.18848167539267,9.947643979057592,1.4974693066643203,8.201327985252885,2.0434363967048252,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
fr,74,21.2027027027027,9.45945945945946,0.5801713544144488,7.4952969133404945,0.7916978709746442,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
es,45,12.844444444444445,6.666666666666667,0.3528069047114891,6.210358841867184,0.481437894511608,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
pt,55,20.272727272727273,5.454545454545454,0.43120843909182,6.758730180657807,0.5884240932919653,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log
en,4787,38.882180906622104,8.355964069354501,47.34543125995777,9.127285550651877,66.12791822074873,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
other,1273,17.746268656716417,4.948939512961508,12.590502192171765,8.889966050006734,17.585301837270343,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
ja,569,27.77504393673111,8.963093145869948,5.627647876940876,8.80258894114812,7.860201685315651,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
es,61,24.672131147540984,1.639344262295082,0.6033155017458584,6.122336584368436,0.8426578256665285,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
it,128,17.296875,0.78125,1.2659735118601618,6.473159534549609,1.7682000276281256,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
fr,55,14.10909090909091,1.8181818181818181,0.5439729933774133,5.738487145165094,0.7597734493714602,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
de,141,28.21985815602837,3.546099290780142,1.3945489466584595,7.250643288205817,1.9477828429341069,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
pt,46,14.043478260869565,2.1739130434782608,0.45495923082474565,5.4400183600854515,0.6354468849288576,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
